1731474948.730818 server started (38312): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1731474948.730848 on Darwin 24.0.0 Darwin Kernel Version 24.0.0: Tue Sep 24 23:37:13 PDT 2024; root:xnu-11215.1.12~1/RELEASE_ARM64_T8112
1731474948.730856 using libevent 2.1.12-stable select
1731474948.730867 using utf8proc 2.9.0
1731474948.730874 using ncurses 6.5 20240427
1731474949.050773 cmdq_next <global>: waiting
1731474949.050775 cmdq_next </dev/ttys003>: waiting
1731474949.053480 add peer 0x150060000: 10 (0x14b812e00)
1731474949.053486 new client 0x14b812e00
1731474949.053489 cmdq_next <global>: waiting
1731474949.053491 cmdq_next </dev/ttys003>: waiting
1731474949.053552 peer 0x150060000 message 111
1731474949.053557 client 0x14b812e00 IDENTIFY_LONGFLAGS 0x10000
1731474949.053559 peer 0x150060000 message 111
1731474949.053562 client 0x14b812e00 IDENTIFY_LONGFLAGS 0x10000
1731474949.053564 peer 0x150060000 message 101
1731474949.053566 client 0x14b812e00 IDENTIFY_TERM xterm-256color
1731474949.053568 peer 0x150060000 message 109
1731474949.053570 client 0x14b812e00 IDENTIFY_FEATURES 
1731474949.053572 peer 0x150060000 message 102
1731474949.053574 client 0x14b812e00 IDENTIFY_TTYNAME 
1731474949.053576 peer 0x150060000 message 108
1731474949.053584 client 0x14b812e00 IDENTIFY_CWD /Users/richie/Documents/Programming/Projects/on-going/feedback-hub
1731474949.053587 cmdq_next <global>: waiting
1731474949.053588 cmdq_next </dev/ttys003>: waiting
1731474949.053592 peer 0x150060000 message 104
1731474949.053594 client 0x14b812e00 IDENTIFY_STDIN 11
1731474949.053596 cmdq_next <global>: waiting
1731474949.053598 cmdq_next </dev/ttys003>: waiting
1731474949.053601 peer 0x150060000 message 110
1731474949.053603 client 0x14b812e00 IDENTIFY_STDOUT 12
1731474949.053605 peer 0x150060000 message 107
1731474949.053607 client 0x14b812e00 IDENTIFY_CLIENTPID 38482
1731474949.053608 peer 0x150060000 message 105
1731474949.053611 client 0x14b812e00 IDENTIFY_ENVIRON NVM_INC=/Users/richie/.nvm/versions/node/v22.8.0/include/node
1731474949.053613 peer 0x150060000 message 105
1731474949.053615 client 0x14b812e00 IDENTIFY_ENVIRON LDFLAGS=-L/opt/homebrew/opt/postgresql@16/lib
1731474949.053617 peer 0x150060000 message 105
1731474949.053619 client 0x14b812e00 IDENTIFY_ENVIRON LC_MONETARY=en_US.UTF-8
1731474949.053621 peer 0x150060000 message 105
1731474949.053623 client 0x14b812e00 IDENTIFY_ENVIRON TERM_PROGRAM=Tabby
1731474949.053625 peer 0x150060000 message 105
1731474949.053627 client 0x14b812e00 IDENTIFY_ENVIRON ANDROID_HOME=/Users/richie/Library/Android/Sdk
1731474949.053629 peer 0x150060000 message 105
1731474949.053631 client 0x14b812e00 IDENTIFY_ENVIRON NVM_CD_FLAGS=-q
1731474949.053633 peer 0x150060000 message 105
1731474949.053635 client 0x14b812e00 IDENTIFY_ENVIRON SHELL=/bin/sh
1731474949.053637 peer 0x150060000 message 105
1731474949.053643 client 0x14b812e00 IDENTIFY_ENVIRON TERM=xterm-256color
1731474949.053644 peer 0x150060000 message 105
1731474949.053647 client 0x14b812e00 IDENTIFY_ENVIRON CPPFLAGS=-I/opt/homebrew/opt/postgresql@16/include
1731474949.053649 peer 0x150060000 message 105
1731474949.053651 client 0x14b812e00 IDENTIFY_ENVIRON TMPDIR=/var/folders/pd/qsy0fv9j0ts43m9j8cbg5r5r0000gn/T/
1731474949.053653 peer 0x150060000 message 105
1731474949.053655 client 0x14b812e00 IDENTIFY_ENVIRON LC_NUMERIC=en_US.UTF-8
1731474949.053656 peer 0x150060000 message 105
1731474949.053658 client 0x14b812e00 IDENTIFY_ENVIRON MallocNanoZone=0
1731474949.053660 peer 0x150060000 message 105
1731474949.053662 client 0x14b812e00 IDENTIFY_ENVIRON ORIGINAL_XDG_CURRENT_DESKTOP=undefined
1731474949.053664 peer 0x150060000 message 105
1731474949.053666 client 0x14b812e00 IDENTIFY_ENVIRON LC_ALL=en_US.UTF-8
1731474949.053668 peer 0x150060000 message 105
1731474949.053670 client 0x14b812e00 IDENTIFY_ENVIRON TABBY_CONFIG_DIRECTORY=/Users/richie/Library/Application Support/tabby
1731474949.053672 peer 0x150060000 message 105
1731474949.053674 client 0x14b812e00 IDENTIFY_ENVIRON ZSH=/Users/richie/.oh-my-zsh
1731474949.053676 peer 0x150060000 message 105
1731474949.053678 client 0x14b812e00 IDENTIFY_ENVIRON NVM_DIR=/Users/richie/.nvm
1731474949.053680 peer 0x150060000 message 105
1731474949.053682 client 0x14b812e00 IDENTIFY_ENVIRON USER=richie
1731474949.053683 peer 0x150060000 message 105
1731474949.053686 client 0x14b812e00 IDENTIFY_ENVIRON LS_COLORS=di=1;36:ln=35:so=32:pi=33:ex=31:bd=34;46:cd=34;43:su=30;41:sg=30;46:tw=30;42:ow=30;43
1731474949.053688 peer 0x150060000 message 105
1731474949.053690 client 0x14b812e00 IDENTIFY_ENVIRON COMMAND_MODE=unix2003
1731474949.053692 peer 0x150060000 message 105
1731474949.053694 client 0x14b812e00 IDENTIFY_ENVIRON SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.hMYMO54iBk/Listeners
1731474949.053695 peer 0x150060000 message 105
1731474949.053698 client 0x14b812e00 IDENTIFY_ENVIRON __CF_USER_TEXT_ENCODING=0x1F5:0x0:0x0
1731474949.053699 peer 0x150060000 message 105
1731474949.053701 client 0x14b812e00 IDENTIFY_ENVIRON PAGER=less
1731474949.053703 peer 0x150060000 message 105
1731474949.053705 client 0x14b812e00 IDENTIFY_ENVIRON TMUX=/private/tmp/tmux-501/default,38312,-1
1731474949.053707 peer 0x150060000 message 105
1731474949.053709 client 0x14b812e00 IDENTIFY_ENVIRON LSCOLORS=Gxfxcxdxbxegedabagacad
1731474949.053711 peer 0x150060000 message 105
1731474949.053717 client 0x14b812e00 IDENTIFY_ENVIRON PATH=/Users/richie/.nvm/versions/node/v22.8.0/bin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/Library/Apple/usr/bin:/Users/richie/Library/Android/Sdk:/Users/richie/Library/Android/Sdk/platform-tools:/Users/richie/Library/Android/Sdk/build-tools/34.0.0:/Users/richie/Library/Android/Sdk/emulator:/Users/richie/Library/Android/Sdk/cmdline-tools/latest/bin/:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/richie/Development/flutter/bin:/opt/homebrew/opt/openjdk/bin:/opt/homebrew/opt/postgresql@16/bin:/opt/homebrew/sbin:/opt/homebrew/bin:/usr/local/bin
1731474949.053719 peer 0x150060000 message 105
1731474949.053721 client 0x14b812e00 IDENTIFY_ENVIRON LC_MESSAGES=en_US.UTF-8
1731474949.053723 peer 0x150060000 message 105
1731474949.053725 client 0x14b812e00 IDENTIFY_ENVIRON LC_COLLATE=en_US.UTF-8
1731474949.053727 peer 0x150060000 message 105
1731474949.053729 client 0x14b812e00 IDENTIFY_ENVIRON __CFBundleIdentifier=org.tabby
1731474949.053730 peer 0x150060000 message 105
1731474949.053733 client 0x14b812e00 IDENTIFY_ENVIRON PWD=/Users/richie/Documents/Programming/Projects/on-going/feedback-hub
1731474949.053734 peer 0x150060000 message 105
1731474949.053736 client 0x14b812e00 IDENTIFY_ENVIRON ZSH_TMUX_AUTONAME_SESSION=true
1731474949.053738 peer 0x150060000 message 105
1731474949.053743 client 0x14b812e00 IDENTIFY_ENVIRON TOP_PID=38343
1731474949.053745 peer 0x150060000 message 105
1731474949.053747 client 0x14b812e00 IDENTIFY_ENVIRON LANG=en_US.UTF-8
1731474949.053749 peer 0x150060000 message 105
1731474949.053752 client 0x14b812e00 IDENTIFY_ENVIRON NODE_PATH=undefined:/Applications/Tabby.app/Contents/Resources/builtin-plugins:/Applications/Tabby.app/Contents/Resources/app.asar/node_modules:/Users/richie/Library/Application Support/tabby/plugins/node_modules
1731474949.053754 peer 0x150060000 message 105
1731474949.053756 client 0x14b812e00 IDENTIFY_ENVIRON XPC_FLAGS=0x0
1731474949.053758 peer 0x150060000 message 105
1731474949.053760 client 0x14b812e00 IDENTIFY_ENVIRON XPC_SERVICE_NAME=0
1731474949.053762 peer 0x150060000 message 105
1731474949.053764 client 0x14b812e00 IDENTIFY_ENVIRON HOME=/Users/richie
1731474949.053766 peer 0x150060000 message 105
1731474949.053768 client 0x14b812e00 IDENTIFY_ENVIRON SHLVL=5
1731474949.053770 peer 0x150060000 message 105
1731474949.053772 client 0x14b812e00 IDENTIFY_ENVIRON LESS=-R
1731474949.053774 peer 0x150060000 message 105
1731474949.053776 client 0x14b812e00 IDENTIFY_ENVIRON LOGNAME=richie
1731474949.053778 peer 0x150060000 message 105
1731474949.053780 client 0x14b812e00 IDENTIFY_ENVIRON NVM_BIN=/Users/richie/.nvm/versions/node/v22.8.0/bin
1731474949.053782 peer 0x150060000 message 105
1731474949.053784 client 0x14b812e00 IDENTIFY_ENVIRON TABBY_PLUGINS=
1731474949.053786 peer 0x150060000 message 105
1731474949.053788 client 0x14b812e00 IDENTIFY_ENVIRON COLORTERM=truecolor
1731474949.053790 peer 0x150060000 message 105
1731474949.053792 client 0x14b812e00 IDENTIFY_ENVIRON _=/opt/homebrew/bin/tmux
1731474949.053794 peer 0x150060000 message 106
1731474949.053796 client 0x14b812e00 name is client-38482
1731474949.053799 peer 0x150060000 message 200
1731474949.053801 cmd_unpack_argv: argv[0]=show-option
1731474949.053803 cmd_unpack_argv: argv[1]=-gqv
1731474949.053805 cmd_unpack_argv: argv[2]=@copy_mode_yank_wo_newline
1731474949.053807 cmd_parse_build_commands 0:0: show-option
1731474949.053809 cmd_parse_build_commands 0:1: -gqv
1731474949.053811 cmd_parse_build_commands 0:2: @copy_mode_yank_wo_newline
1731474949.053814 args_parse_flags: next -gqv
1731474949.053816 args_parse_flags: -g
1731474949.053817 args_parse_flags: -q
1731474949.053819 args_parse_flags: -v
1731474949.053821 args_parse_flags: next @copy_mode_yank_wo_newline
1731474949.053823 args_parse: flags end at 2 of 3
1731474949.053825 args_parse: 2 = @copy_mode_yank_wo_newline (type STRING)
1731474949.053829 cmd_parse_build_commands: show-options -gqv @copy_mode_yank_wo_newline
1731474949.053832 cmdq_get_command: [show-options/0x15b72da90] group 3104
1731474949.053834 cmdq_append <client-38482>: [show-options/0x15b72da90]
1731474949.053836 cmdq_append <client-38482>: [server_client_command_done/0x15b72cc20]
1731474949.053838 cmdq_next <global>: waiting
1731474949.053840 cmdq_next </dev/ttys003>: waiting
1731474949.053842 cmdq_next <client-38482>: enter
1731474949.053844 cmdq_next <client-38482>: [show-options/0x15b72da90] (0), flags 0
1731474949.053846 cmd_find_best_session: 0 sessions to try
1731474949.053848 cmd_find_current_client: no target, return 0x0
1731474949.053849 cmd_find_best_session: 0 sessions to try
1731474949.053852 cmd_find_target: target none, type pane, item 0x15b72da90, flags QUIET,CANFAIL
1731474949.053853 cmd_find_best_session: 0 sessions to try
1731474949.053855 cmd_find_target: error
1731474949.053857 format_defaults: c=none
1731474949.053859 format_defaults: s=none
1731474949.053860 format_defaults: wl=none
1731474949.053862 format_defaults: wp=none
1731474949.053864 format_expand1: expanding format: @copy_mode_yank_wo_newline
1731474949.053866 format_expand1: result is: @copy_mode_yank_wo_newline
1731474949.053868 unref client 0x14b812e00 (4 references)
1731474949.053870 cmd_find_best_session: 0 sessions to try
1731474949.053872 unref client 0x14b812e00 (3 references)
1731474949.053875 cmdq_next <client-38482>: [server_client_command_done/0x15b72cc20] (1), flags 0
1731474949.053881 unref client 0x14b812e00 (2 references)
1731474949.053883 cmdq_next <client-38482>: exit (empty)
1731474949.053884 cmdq_next <global>: waiting
1731474949.053886 cmdq_next </dev/ttys003>: waiting
1731474949.053888 cmdq_next <client-38482>: empty
1731474949.053890 sending message 203 to peer 0x150060000 (4 bytes)
1731474949.053895 cmdq_next <global>: waiting
1731474949.053898 cmdq_next </dev/ttys003>: waiting
1731474949.053901 cmdq_next <client-38482>: empty
1731474949.054003 lost client 0x14b812e00
1731474949.054013 remove peer 0x150060000
1731474949.054018 unref client 0x14b812e00 (1 references)
1731474949.054021 free client 0x14b812e00 (0 references)
1731474949.054023 cmdq_next <global>: waiting
1731474949.054025 cmdq_next </dev/ttys003>: waiting
1731474949.057048 add peer 0x140008000: 10 (0x15b80a400)
1731474949.057054 new client 0x15b80a400
1731474949.057057 cmdq_next <global>: waiting
1731474949.057059 cmdq_next </dev/ttys003>: waiting
1731474949.057123 peer 0x140008000 message 111
1731474949.057127 client 0x15b80a400 IDENTIFY_LONGFLAGS 0x10000
1731474949.057130 peer 0x140008000 message 111
1731474949.057132 client 0x15b80a400 IDENTIFY_LONGFLAGS 0x10000
1731474949.057134 peer 0x140008000 message 101
1731474949.057137 client 0x15b80a400 IDENTIFY_TERM xterm-256color
1731474949.057140 peer 0x140008000 message 109
1731474949.057142 client 0x15b80a400 IDENTIFY_FEATURES 
1731474949.057144 peer 0x140008000 message 102
1731474949.057147 client 0x15b80a400 IDENTIFY_TTYNAME 
1731474949.057149 peer 0x140008000 message 108
1731474949.057158 client 0x15b80a400 IDENTIFY_CWD /Users/richie/Documents/Programming/Projects/on-going/feedback-hub
1731474949.057161 cmdq_next <global>: waiting
1731474949.057163 cmdq_next </dev/ttys003>: waiting
1731474949.057166 peer 0x140008000 message 104
1731474949.057168 client 0x15b80a400 IDENTIFY_STDIN 11
1731474949.057170 cmdq_next <global>: waiting
1731474949.057172 cmdq_next </dev/ttys003>: waiting
1731474949.057175 peer 0x140008000 message 110
1731474949.057177 client 0x15b80a400 IDENTIFY_STDOUT 12
1731474949.057179 peer 0x140008000 message 107
1731474949.057181 client 0x15b80a400 IDENTIFY_CLIENTPID 38485
1731474949.057183 peer 0x140008000 message 105
1731474949.057185 client 0x15b80a400 IDENTIFY_ENVIRON NVM_INC=/Users/richie/.nvm/versions/node/v22.8.0/include/node
1731474949.057187 peer 0x140008000 message 105
1731474949.057189 client 0x15b80a400 IDENTIFY_ENVIRON LDFLAGS=-L/opt/homebrew/opt/postgresql@16/lib
1731474949.057191 peer 0x140008000 message 105
1731474949.057194 client 0x15b80a400 IDENTIFY_ENVIRON LC_MONETARY=en_US.UTF-8
1731474949.057196 peer 0x140008000 message 105
1731474949.057198 client 0x15b80a400 IDENTIFY_ENVIRON TERM_PROGRAM=Tabby
1731474949.057200 peer 0x140008000 message 105
1731474949.057202 client 0x15b80a400 IDENTIFY_ENVIRON ANDROID_HOME=/Users/richie/Library/Android/Sdk
1731474949.057204 peer 0x140008000 message 105
1731474949.057206 client 0x15b80a400 IDENTIFY_ENVIRON NVM_CD_FLAGS=-q
1731474949.057208 peer 0x140008000 message 105
1731474949.057210 client 0x15b80a400 IDENTIFY_ENVIRON SHELL=/bin/sh
1731474949.057212 peer 0x140008000 message 105
1731474949.057214 client 0x15b80a400 IDENTIFY_ENVIRON TERM=xterm-256color
1731474949.057216 peer 0x140008000 message 105
1731474949.057218 client 0x15b80a400 IDENTIFY_ENVIRON CPPFLAGS=-I/opt/homebrew/opt/postgresql@16/include
1731474949.057220 peer 0x140008000 message 105
1731474949.057222 client 0x15b80a400 IDENTIFY_ENVIRON TMPDIR=/var/folders/pd/qsy0fv9j0ts43m9j8cbg5r5r0000gn/T/
1731474949.057224 peer 0x140008000 message 105
1731474949.057226 client 0x15b80a400 IDENTIFY_ENVIRON LC_NUMERIC=en_US.UTF-8
1731474949.057228 peer 0x140008000 message 105
1731474949.057230 client 0x15b80a400 IDENTIFY_ENVIRON MallocNanoZone=0
1731474949.057232 peer 0x140008000 message 105
1731474949.057234 client 0x15b80a400 IDENTIFY_ENVIRON ORIGINAL_XDG_CURRENT_DESKTOP=undefined
1731474949.057236 peer 0x140008000 message 105
1731474949.057238 client 0x15b80a400 IDENTIFY_ENVIRON LC_ALL=en_US.UTF-8
1731474949.057240 peer 0x140008000 message 105
1731474949.057247 client 0x15b80a400 IDENTIFY_ENVIRON TABBY_CONFIG_DIRECTORY=/Users/richie/Library/Application Support/tabby
1731474949.057249 peer 0x140008000 message 105
1731474949.057251 client 0x15b80a400 IDENTIFY_ENVIRON ZSH=/Users/richie/.oh-my-zsh
1731474949.057253 peer 0x140008000 message 105
1731474949.057255 client 0x15b80a400 IDENTIFY_ENVIRON NVM_DIR=/Users/richie/.nvm
1731474949.057257 peer 0x140008000 message 105
1731474949.057259 client 0x15b80a400 IDENTIFY_ENVIRON USER=richie
1731474949.057261 peer 0x140008000 message 105
1731474949.057264 client 0x15b80a400 IDENTIFY_ENVIRON LS_COLORS=di=1;36:ln=35:so=32:pi=33:ex=31:bd=34;46:cd=34;43:su=30;41:sg=30;46:tw=30;42:ow=30;43
1731474949.057266 peer 0x140008000 message 105
1731474949.057268 client 0x15b80a400 IDENTIFY_ENVIRON COMMAND_MODE=unix2003
1731474949.057270 peer 0x140008000 message 105
1731474949.057272 client 0x15b80a400 IDENTIFY_ENVIRON SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.hMYMO54iBk/Listeners
1731474949.057274 peer 0x140008000 message 105
1731474949.057276 client 0x15b80a400 IDENTIFY_ENVIRON __CF_USER_TEXT_ENCODING=0x1F5:0x0:0x0
1731474949.057278 peer 0x140008000 message 105
1731474949.057280 client 0x15b80a400 IDENTIFY_ENVIRON PAGER=less
1731474949.057282 peer 0x140008000 message 105
1731474949.057285 client 0x15b80a400 IDENTIFY_ENVIRON TMUX=/private/tmp/tmux-501/default,38312,-1
1731474949.057286 peer 0x140008000 message 105
1731474949.057289 client 0x15b80a400 IDENTIFY_ENVIRON LSCOLORS=Gxfxcxdxbxegedabagacad
1731474949.057291 peer 0x140008000 message 105
1731474949.057297 client 0x15b80a400 IDENTIFY_ENVIRON PATH=/Users/richie/.nvm/versions/node/v22.8.0/bin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/Library/Apple/usr/bin:/Users/richie/Library/Android/Sdk:/Users/richie/Library/Android/Sdk/platform-tools:/Users/richie/Library/Android/Sdk/build-tools/34.0.0:/Users/richie/Library/Android/Sdk/emulator:/Users/richie/Library/Android/Sdk/cmdline-tools/latest/bin/:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/richie/Development/flutter/bin:/opt/homebrew/opt/openjdk/bin:/opt/homebrew/opt/postgresql@16/bin:/opt/homebrew/sbin:/opt/homebrew/bin:/usr/local/bin
1731474949.057299 peer 0x140008000 message 105
1731474949.057301 client 0x15b80a400 IDENTIFY_ENVIRON LC_MESSAGES=en_US.UTF-8
1731474949.057303 peer 0x140008000 message 105
1731474949.057305 client 0x15b80a400 IDENTIFY_ENVIRON LC_COLLATE=en_US.UTF-8
1731474949.057307 peer 0x140008000 message 105
1731474949.057309 client 0x15b80a400 IDENTIFY_ENVIRON __CFBundleIdentifier=org.tabby
1731474949.057311 peer 0x140008000 message 105
1731474949.057313 client 0x15b80a400 IDENTIFY_ENVIRON PWD=/Users/richie/Documents/Programming/Projects/on-going/feedback-hub
1731474949.057315 peer 0x140008000 message 105
1731474949.057318 client 0x15b80a400 IDENTIFY_ENVIRON ZSH_TMUX_AUTONAME_SESSION=true
1731474949.057319 peer 0x140008000 message 105
1731474949.057321 client 0x15b80a400 IDENTIFY_ENVIRON TOP_PID=38343
1731474949.057323 peer 0x140008000 message 105
1731474949.057326 client 0x15b80a400 IDENTIFY_ENVIRON LANG=en_US.UTF-8
1731474949.057327 peer 0x140008000 message 105
1731474949.057331 client 0x15b80a400 IDENTIFY_ENVIRON NODE_PATH=undefined:/Applications/Tabby.app/Contents/Resources/builtin-plugins:/Applications/Tabby.app/Contents/Resources/app.asar/node_modules:/Users/richie/Library/Application Support/tabby/plugins/node_modules
1731474949.057333 peer 0x140008000 message 105
1731474949.057335 client 0x15b80a400 IDENTIFY_ENVIRON XPC_FLAGS=0x0
1731474949.057337 peer 0x140008000 message 105
1731474949.057339 client 0x15b80a400 IDENTIFY_ENVIRON XPC_SERVICE_NAME=0
1731474949.057341 peer 0x140008000 message 105
1731474949.057343 client 0x15b80a400 IDENTIFY_ENVIRON HOME=/Users/richie
1731474949.057344 peer 0x140008000 message 105
1731474949.057350 client 0x15b80a400 IDENTIFY_ENVIRON SHLVL=5
1731474949.057351 peer 0x140008000 message 105
1731474949.057354 client 0x15b80a400 IDENTIFY_ENVIRON LESS=-R
1731474949.057355 peer 0x140008000 message 105
1731474949.057357 client 0x15b80a400 IDENTIFY_ENVIRON LOGNAME=richie
1731474949.057359 peer 0x140008000 message 105
1731474949.057362 client 0x15b80a400 IDENTIFY_ENVIRON NVM_BIN=/Users/richie/.nvm/versions/node/v22.8.0/bin
1731474949.057363 peer 0x140008000 message 105
1731474949.057365 client 0x15b80a400 IDENTIFY_ENVIRON TABBY_PLUGINS=
1731474949.057367 peer 0x140008000 message 105
1731474949.057369 client 0x15b80a400 IDENTIFY_ENVIRON COLORTERM=truecolor
1731474949.057371 peer 0x140008000 message 105
1731474949.057373 client 0x15b80a400 IDENTIFY_ENVIRON _=/opt/homebrew/bin/tmux
1731474949.057375 peer 0x140008000 message 106
1731474949.057377 client 0x15b80a400 name is client-38485
1731474949.057380 peer 0x140008000 message 200
1731474949.057382 cmd_unpack_argv: argv[0]=show-option
1731474949.057384 cmd_unpack_argv: argv[1]=-gqv
1731474949.057386 cmd_unpack_argv: argv[2]=@yank_action
1731474949.057388 cmd_parse_build_commands 0:0: show-option
1731474949.057390 cmd_parse_build_commands 0:1: -gqv
1731474949.057392 cmd_parse_build_commands 0:2: @yank_action
1731474949.057395 args_parse_flags: next -gqv
1731474949.057397 args_parse_flags: -g
1731474949.057399 args_parse_flags: -q
1731474949.057401 args_parse_flags: -v
1731474949.057402 args_parse_flags: next @yank_action
1731474949.057404 args_parse: flags end at 2 of 3
1731474949.057406 args_parse: 2 = @yank_action (type STRING)
1731474949.057410 cmd_parse_build_commands: show-options -gqv @yank_action
1731474949.057413 cmdq_get_command: [show-options/0x15b626000] group 3108
1731474949.057415 cmdq_append <client-38485>: [show-options/0x15b626000]
1731474949.057418 cmdq_append <client-38485>: [server_client_command_done/0x15b626e80]
1731474949.057420 cmdq_next <global>: waiting
1731474949.057422 cmdq_next </dev/ttys003>: waiting
1731474949.057424 cmdq_next <client-38485>: enter
1731474949.057426 cmdq_next <client-38485>: [show-options/0x15b626000] (0), flags 0
1731474949.057428 cmd_find_best_session: 0 sessions to try
1731474949.057429 cmd_find_current_client: no target, return 0x0
1731474949.057431 cmd_find_best_session: 0 sessions to try
1731474949.057434 cmd_find_target: target none, type pane, item 0x15b626000, flags QUIET,CANFAIL
1731474949.057435 cmd_find_best_session: 0 sessions to try
1731474949.057437 cmd_find_target: error
1731474949.057439 format_defaults: c=none
1731474949.057441 format_defaults: s=none
1731474949.057442 format_defaults: wl=none
1731474949.057444 format_defaults: wp=none
1731474949.057446 format_expand1: expanding format: @yank_action
1731474949.057448 format_expand1: result is: @yank_action
1731474949.057450 unref client 0x15b80a400 (4 references)
1731474949.057452 cmd_find_best_session: 0 sessions to try
1731474949.057454 unref client 0x15b80a400 (3 references)
1731474949.057457 cmdq_next <client-38485>: [server_client_command_done/0x15b626e80] (1), flags 0
1731474949.057459 unref client 0x15b80a400 (2 references)
1731474949.057461 cmdq_next <client-38485>: exit (empty)
1731474949.057462 cmdq_next <global>: waiting
1731474949.057464 cmdq_next </dev/ttys003>: waiting
1731474949.057466 cmdq_next <client-38485>: empty
1731474949.057468 sending message 203 to peer 0x140008000 (4 bytes)
1731474949.057473 cmdq_next <global>: waiting
1731474949.057476 cmdq_next </dev/ttys003>: waiting
1731474949.057478 cmdq_next <client-38485>: empty
1731474949.057573 lost client 0x15b80a400
1731474949.057586 remove peer 0x140008000
1731474949.057590 unref client 0x15b80a400 (1 references)
1731474949.057593 free client 0x15b80a400 (0 references)
1731474949.057595 cmdq_next <global>: waiting
1731474949.057597 cmdq_next </dev/ttys003>: waiting
1731474949.060314 add peer 0x140008000: 10 (0x15b80a400)
1731474949.060319 new client 0x15b80a400
1731474949.060322 cmdq_next <global>: waiting
1731474949.060324 cmdq_next </dev/ttys003>: waiting
1731474949.060384 peer 0x140008000 message 111
1731474949.060393 client 0x15b80a400 IDENTIFY_LONGFLAGS 0x10000
1731474949.060395 peer 0x140008000 message 111
1731474949.060397 client 0x15b80a400 IDENTIFY_LONGFLAGS 0x10000
1731474949.060399 peer 0x140008000 message 101
1731474949.060401 client 0x15b80a400 IDENTIFY_TERM xterm-256color
1731474949.060403 peer 0x140008000 message 109
1731474949.060405 client 0x15b80a400 IDENTIFY_FEATURES 
1731474949.060407 peer 0x140008000 message 102
1731474949.060409 client 0x15b80a400 IDENTIFY_TTYNAME 
1731474949.060411 peer 0x140008000 message 108
1731474949.060422 client 0x15b80a400 IDENTIFY_CWD /Users/richie/Documents/Programming/Projects/on-going/feedback-hub
1731474949.060424 cmdq_next <global>: waiting
1731474949.060426 cmdq_next </dev/ttys003>: waiting
1731474949.060429 peer 0x140008000 message 104
1731474949.060431 client 0x15b80a400 IDENTIFY_STDIN 11
1731474949.060433 cmdq_next <global>: waiting
1731474949.060435 cmdq_next </dev/ttys003>: waiting
1731474949.060438 peer 0x140008000 message 110
1731474949.060440 client 0x15b80a400 IDENTIFY_STDOUT 12
1731474949.060441 peer 0x140008000 message 107
1731474949.060443 client 0x15b80a400 IDENTIFY_CLIENTPID 38486
1731474949.060445 peer 0x140008000 message 105
1731474949.060447 client 0x15b80a400 IDENTIFY_ENVIRON NVM_INC=/Users/richie/.nvm/versions/node/v22.8.0/include/node
1731474949.060449 peer 0x140008000 message 105
1731474949.060452 client 0x15b80a400 IDENTIFY_ENVIRON LDFLAGS=-L/opt/homebrew/opt/postgresql@16/lib
1731474949.060454 peer 0x140008000 message 105
1731474949.060456 client 0x15b80a400 IDENTIFY_ENVIRON LC_MONETARY=en_US.UTF-8
1731474949.060458 peer 0x140008000 message 105
1731474949.060460 client 0x15b80a400 IDENTIFY_ENVIRON TERM_PROGRAM=Tabby
1731474949.060462 peer 0x140008000 message 105
1731474949.060464 client 0x15b80a400 IDENTIFY_ENVIRON ANDROID_HOME=/Users/richie/Library/Android/Sdk
1731474949.060466 peer 0x140008000 message 105
1731474949.060468 client 0x15b80a400 IDENTIFY_ENVIRON NVM_CD_FLAGS=-q
1731474949.060469 peer 0x140008000 message 105
1731474949.060471 client 0x15b80a400 IDENTIFY_ENVIRON SHELL=/bin/sh
1731474949.060473 peer 0x140008000 message 105
1731474949.060475 client 0x15b80a400 IDENTIFY_ENVIRON TERM=xterm-256color
1731474949.060477 peer 0x140008000 message 105
1731474949.060480 client 0x15b80a400 IDENTIFY_ENVIRON CPPFLAGS=-I/opt/homebrew/opt/postgresql@16/include
1731474949.060481 peer 0x140008000 message 105
1731474949.060484 client 0x15b80a400 IDENTIFY_ENVIRON TMPDIR=/var/folders/pd/qsy0fv9j0ts43m9j8cbg5r5r0000gn/T/
1731474949.060486 peer 0x140008000 message 105
1731474949.060488 client 0x15b80a400 IDENTIFY_ENVIRON LC_NUMERIC=en_US.UTF-8
1731474949.060489 peer 0x140008000 message 105
1731474949.060492 client 0x15b80a400 IDENTIFY_ENVIRON MallocNanoZone=0
1731474949.060493 peer 0x140008000 message 105
